chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3842,0.38078265545467727,0.3842510102909943,0.3735992528797581,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2548,0.2390885304629015,0.26111414318146814,0.21146142626944098,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.146,0.06447025803703448,0.14731197818787808,0.06695692689634257,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.357,0.3595439390877648,0.35723441884166274,0.3439192669388734,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3958,0.3885522891070979,0.3964380116502781,0.387970669866022,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2542,0.2511452395822646,0.25966700722890435,0.22705713775523906,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.1148,0.02588272207999658,0.11373413309624288,0.03692018339056584,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3698,0.3746187648508189,0.3699973966604081,0.3548766197111676,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3664,0.3675076055608904,0.366853484105071,0.35932838017553165,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2404,0.23678708571442547,0.24747964749087575,0.1906468885250164,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
