chromosome,accuracy,precision,recall,f1_score,params
"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.374,0.3826288824240178,0.3745292786764973,0.3662698251433362,"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}",0.1536,0.09604055917133893,0.15749558969219768,0.08613282171489633,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}"
"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}",0.355,0.3567567055075854,0.3581296103420186,0.3465659185470509,"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.0916,0.03678896381354532,0.0944551607163643,0.026340553538936995,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.366,0.3709017658153474,0.3692652241282081,0.358783113169186,"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.3, 'batch_size': 32, 'activations': ['tanh', 'tanh']}",0.2354,0.23187352807887276,0.2390287849898916,0.21049306316586502,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.3, 'batch_size': 32, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.352,0.35774906475643214,0.35518765465303975,0.34212033888902227,"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['tanh', 'tanh']}",0.2742,0.2813745759378595,0.2795997101798017,0.2524806930116776,"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}",0.1322,0.04173222445025594,0.13389151476216002,0.048478293008738085,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.1214,0.036246972536403785,0.12536306234663455,0.045695195898062,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['relu', 'relu']}"
