chromosome,accuracy,precision,recall,f1_score
"{'learning_rate': 0.03418, 'batch_size': 32, 'dropout_rate': 0.27, 'num_hidden_layers': 1, 'hidden_sizes': [181, 168], 'activations': ['tanh'], 'optimizer': 'sgd'}",0.9249,0.9247857332235301,0.9241999588659006,0.9239269434718098
"{'learning_rate': 0.0002, 'batch_size': 64, 'dropout_rate': 0.33, 'num_hidden_layers': 2.0479, 'hidden_sizes': [181, 168], 'activations': ['relu', 'relu'], 'optimizer': 'sgd'}",0.2761,0.34869763420471966,0.2634903794372433,0.1851220704652509
"{'learning_rate': 0.04331, 'batch_size': 32, 'dropout_rate': 0.31, 'num_hidden_layers': 2.09418, 'hidden_sizes': [123, 132, 163], 'activations': ['tanh'], 'optimizer': 'sgd'}",0.9242,0.9255845728886618,0.9226677822336737,0.9232009452297273
"{'learning_rate': 0.03418, 'batch_size': 64, 'dropout_rate': 0.24, 'num_hidden_layers': 1, 'hidden_sizes': [143], 'activations': ['relu', 'relu'], 'optimizer': 'sgd', 'activation': 'tanh'}",0.9344,0.934165855745395,0.9338225579151885,0.9333399770757381
"{'learning_rate': 0.04331, 'batch_size': 64, 'dropout_rate': 0.27, 'num_hidden_layers': 2.09418, 'hidden_sizes': [123, 132, 163], 'activations': ['relu', 'relu'], 'optimizer': 'sgd'}",0.9261,0.9281789907166269,0.9257517221676835,0.9248024328433934
"{'learning_rate': 0.03548, 'batch_size': 64, 'dropout_rate': 0.33, 'num_hidden_layers': 2.09418, 'hidden_sizes': [123, 132, 163], 'activations': ['tanh'], 'optimizer': 'sgd'}",0.9226,0.9233591555498217,0.9216174352736308,0.9218953767427998
"{'learning_rate': 0.03548, 'batch_size': 64, 'dropout_rate': 0.33, 'num_hidden_layers': 1.62945, 'hidden_sizes': [123, 132, 163], 'activations': ['relu', 'relu'], 'optimizer': 'sgd'}",0.937,0.9369117845624487,0.936100776967576,0.9361551191152291
"{'learning_rate': 0.03418, 'batch_size': 32, 'dropout_rate': 0.27, 'num_hidden_layers': 1, 'hidden_sizes': [181, 168], 'activations': ['relu', 'relu'], 'optimizer': 'sgd'}",0.9303,0.9315211295487156,0.9297937335769937,0.9293807145272386
"{'learning_rate': 0.03548, 'batch_size': 64, 'dropout_rate': 0.33, 'num_hidden_layers': 2.09418, 'hidden_sizes': [123, 132, 163], 'activations': ['tanh'], 'optimizer': 'sgd'}",0.9187,0.9198740536732972,0.9169022425558468,0.9174272942264807
"{'learning_rate': 0.04331, 'batch_size': 64, 'dropout_rate': 0.33, 'num_hidden_layers': 1, 'hidden_sizes': [123, 132, 163], 'activations': ['relu', 'relu'], 'optimizer': 'sgd'}",0.9363,0.9361761303815026,0.9353976884774278,0.9353626941163824
