chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9535,0.9534109343492687,0.953027643764595,0.9530964606301919,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.644,0.7022330704367248,0.6350490141509993,0.6173400018706147,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.9081,0.9094994826144257,0.9069807842429608,0.9070779249419985,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9039,0.9025443220969777,0.9024209078970685,0.9021066238369633,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9607,0.9605396693347217,0.9602796678093386,0.9603067973842503,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6799,0.7417754329703402,0.6703395257723537,0.6487115808497737,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.8869,0.8912462127828114,0.8859636687677064,0.8861694762733345,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9074,0.9066894118840979,0.9061573334268994,0.9061328310358139,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9394,0.9413734093905737,0.9383612749849763,0.9388459856193581,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.4927,0.6480631170819158,0.4824180928572974,0.4325720148541582,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
