chromosome,accuracy,precision,recall,f1_score,params
"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['tanh', 'tanh']}",0.9523,0.9522083446551107,0.951870289807118,0.9517337688364089,"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['tanh', 'tanh']}",0.9431,0.9443668005698435,0.9424106138683037,0.9426469590285098,"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['tanh', 'tanh']}",0.8274,0.8254817993362291,0.8247930480765959,0.8237419513525366,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['tanh', 'tanh']}",0.7544,0.7788404521375533,0.7474096863711321,0.7419718146743268,"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.9185,0.9207844553251505,0.9169465787689717,0.9177100361820049,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 32, 'activations': ['tanh', 'tanh']}",0.9048,0.9041395052492147,0.9031744631494725,0.90317034098403,"{'optimizer': 'sgd', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 32, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.6578,0.7341230505338773,0.648497061017789,0.6200611480997746,"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 32, 'activations': ['tanh', 'tanh']}",0.9436,0.9432316656359365,0.9428513353055428,0.9428580192323869,"{'optimizer': 'adam', 'learning_rate': 0.001, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 32, 'activations': ['tanh', 'tanh']}"
"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['relu', 'relu']}",0.8756,0.8851329595219781,0.8753534460587555,0.8750213337036458,"{'optimizer': 'adam', 'learning_rate': 0.01, 'hidden_sizes': [128, 64], 'dropout_rate': 0.3, 'batch_size': 64, 'activations': ['relu', 'relu']}"
"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}",0.6738,0.7426673810738873,0.6637485082680599,0.6341039563428883,"{'optimizer': 'sgd', 'learning_rate': 0.001, 'hidden_sizes': [256, 128], 'dropout_rate': 0.2, 'batch_size': 32, 'activations': ['relu', 'relu']}"
